,X,Y
3.1,1175.16215,14311.8261
3.2,1175.16215,14311.8261
3.3,1175.16215,14311.8261
3.4,1175.16215,14311.8261
5.1,0,10587.4397
5.2,0,10587.4397
5.3,0,10587.4397
5.4,0,10587.4397
6.1,1889.01957,9449.49842
6.2,1889.01957,9449.49842
6.3,1889.01957,9449.49842
6.4,1889.01957,9449.49842
7.1,6087.35848,19814.1504
7.2,6087.35848,19814.1504
7.3,6087.35848,19814.1504
7.4,6087.35848,19814.1504
14.1,11458.0633,17939.7395
14.2,11458.0633,17939.7395
14.3,11458.0633,17939.7395
14.4,11458.0633,17939.7395
19.1,10415.2352,14423.8464
19.2,10415.2352,14423.8464
19.3,10415.2352,14423.8464
19.4,10415.2352,14423.8464
20.1,11392.8283,16086.4068
20.2,11392.8283,16086.4068
20.3,11392.8283,16086.4068
20.4,11392.8283,16086.4068
22.1,11566.167,14794.2898
22.2,11566.167,14794.2898
22.3,11566.167,14794.2898
22.4,11566.167,14794.2898
26.1,13590.3158,16726.3661
26.2,13590.3158,16726.3661
26.3,13590.3158,16726.3661
26.4,13590.3158,16726.3661
27.1,15118.6785,17223.25
27.2,15118.6785,17223.25
27.3,15118.6785,17223.25
27.4,15118.6785,17223.25
33.1,14562.3172,16335.9576
33.2,14562.3172,16335.9576
33.3,14562.3172,16335.9576
33.4,14562.3172,16335.9576
34.1,13167.9378,14295.5554
34.2,13167.9378,14295.5554
34.4,13167.9378,14295.5554
39.1,14905.2669,11575.6535
39.2,14905.2669,11575.6535
39.3,14905.2669,11575.6535
39.4,14905.2669,11575.6535
43.1,12561.4667,8052.02921
43.2,12561.4667,8052.02921
43.3,12561.4667,8052.02921
43.4,12561.4667,8052.02921
44.1,14606.1179,8443.54212
44.2,14606.1179,8443.54212
44.3,14606.1179,8443.54212
44.4,14606.1179,8443.54212
45.1,15540.8421,9380.73399
45.2,15540.8421,9380.73399
45.3,15540.8421,9380.73399
45.4,15540.8421,9380.73399
48.1,18082.2109,9932.0696
48.2,18082.2109,9932.0696
48.3,18082.2109,9932.0696
48.4,18082.2109,9932.0696
50.3,20260.1273,9862.08511
51.1,11193.3956,0
51.2,11193.3956,0
51.3,11193.3956,0
51.4,11193.3956,0
53.3,21187.3959,16060.8972
55.1,21973.0113,17325.2887
55.2,21973.0113,17325.2887
55.3,21973.0113,17325.2887
55.4,21973.0113,17325.2887
57.1,22473.4567,20417.5121
57.3,22473.4567,20417.5121
57.4,22473.4567,20417.5121
60.1,24497.6045,18117.1983
60.2,24497.6045,18117.1983
60.3,24497.6045,18117.1983
60.4,24497.6045,18117.1983
66.1,23262.7999,13945.8194
66.2,23262.7999,13945.8194
66.3,23262.7999,13945.8194
66.4,23262.7999,13945.8194
68.1,21388.6924,13870.3999
68.2,21388.6924,13870.3999
68.3,21388.6924,13870.3999
68.4,21388.6924,13870.3999
70.1,23166.8113,9397.37055
70.2,23166.8113,9397.37055
70.3,23166.8113,9397.37055
70.4,23166.8113,9397.37055
71.1,16083.2245,5650.93973
71.2,16083.2245,5650.93973
71.3,16083.2245,5650.93973
71.4,16083.2245,5650.93973
72.1,11962.2366,5197.20808
72.2,11962.2366,5197.20808
72.3,11962.2366,5197.20808
72.4,11962.2366,5197.20808
75.1,19733.5878,16806.2224
75.2,19733.5878,16806.2224
75.3,19733.5878,16806.2224
75.4,19733.5878,16806.2224
78.1,17882.7782,11550.144
78.2,17882.7782,11550.144
78.3,17882.7782,11550.144
78.4,17882.7782,11550.144
