Camera Station,Coyote,Armadillo,Opossum,Bobcat,Stp Skunk,WT Deer,Raccoon,Feral Hog,CT Rabbit,Gray Fox
3,7,3,1,0,1,38,5,3,7,0
5,14,4,13,1,16,44,68,30,13,0
6,42,16,5,4,10,25,4,2,31,0
7,8,1,6,1,3,48,25,0,1,0
14,5,1,0,4,8,93,16,1,5,0
19,2,2,1,0,0,58,10,0,1,0
20,14,1,0,4,0,106,18,6,2,0
22,1,4,2,0,0,43,5,1,2,0
26,9,2,0,2,1,83,21,1,16,0
27,5,4,1,0,2,67,21,1,9,0
33,3,0,0,0,0,10,1,0,0,0
34,11,3,3,1,0,29,21,3,4,0
39,3,2,0,1,0,19,14,3,0,2
43,2,12,8,0,5,53,9,0,8,0
44,5,0,6,5,2,37,3,3,18,0
45,6,9,5,2,0,5,24,2,0,0
48,3,9,8,1,4,10,98,7,1,0
50,0,0,0,0,0,57,2,0,0,0
51,2,15,3,0,0,31,30,1,11,4
55,9,4,0,1,0,68,1,1,0,0
57,1,3,3,1,1,25,2,1,0,0
60,2,1,1,0,0,44,6,12,3,2
66,2,1,11,0,2,36,13,2,2,0
68,4,1,7,0,0,5,7,0,21,0
70,6,0,7,0,0,57,9,35,2,0
71,2,1,0,0,0,36,8,3,0,0
72,6,1,11,1,7,15,13,0,21,4
75,1,6,15,1,1,57,18,2,1,0
78,2,11,0,1,0,57,0,2,3,0
