Camera Station,Canis latrans,Dasypus novemcinctus,Didelphis virginiana,Lynx rufus,Mephitis mephitis,Odocoileus virginianus,Procyon lotor,Sus scrofa,Sylvilagus floridanus,Urocyon cinereoargenteus
3,1,0,0,0,0,45,1,31,0,2
5,17,6,7,3,3,55,26,24,15,0
6,4,5,11,0,4,28,8,27,34,0
7,0,8,5,1,5,46,18,0,2,0
14,7,16,13,1,4,50,10,1,23,0
19,0,4,2,0,1,46,0,1,3,0
20,4,1,0,0,0,70,2,0,0,0
22,2,7,2,0,0,44,5,0,0,0
26,11,3,1,1,0,150,11,0,10,0
27,1,2,1,1,0,49,9,0,0,0
33,3,3,1,1,0,96,5,0,1,0
34,1,1,1,0,0,39,1,3,0,0
39,0,0,0,1,1,54,1,11,1,0
43,4,4,2,3,0,89,5,0,1,0
44,6,6,2,1,0,62,10,3,12,0
45,5,6,4,1,0,30,7,4,0,0
48,0,18,3,0,7,11,105,5,0,0
50,1,7,8,0,0,45,15,1,0,0
51,0,15,6,0,1,45,13,3,7,0
53,4,3,9,0,0,10,1,0,20,0
55,8,0,4,1,0,74,3,0,0,0
57,0,42,2,1,0,138,8,7,0,0
60,0,2,2,0,0,54,12,2,1,0
66,0,10,4,0,0,47,14,10,6,0
68,5,10,5,1,0,7,51,2,25,0
70,9,7,4,0,1,41,9,0,4,0
71,1,6,1,0,0,57,26,4,0,0
72,3,9,7,0,2,18,5,1,0,0
75,0,0,1,0,0,78,4,1,0,0
78,0,8,0,0,0,85,3,0,1,0
