,CamDays
3_Winter,94
3_Spring,66
3_Summer,91
3_Fall,90
5_Winter,118
5_Spring,66
5_Summer,91
5_Fall,90
6_Winter,102
6_Spring,91
6_Summer,91
6_Fall,90
7_Winter,101
7_Spring,61
7_Summer,91
7_Fall,90
14_Winter,88
14_Spring,13
14_Summer,91
14_Fall,88
19_Winter,90
19_Spring,13
19_Summer,91
19_Fall,90
20_Winter,101
20_Spring,91
20_Summer,91
20_Fall,90
22_Winter,96
22_Spring,89
22_Summer,91
22_Fall,90
26_Winter,94
26_Spring,65
26_Summer,91
26_Fall,90
27_Winter,90
27_Spring,91
27_Summer,91
27_Fall,90
33_Winter,48
33_Spring,13
33_Summer,91
33_Fall,90
34_Winter,95
34_Spring,78
34_Fall,85
39_Winter,80
39_Spring,66
39_Summer,91
39_Fall,61
43_Winter,80
43_Spring,88
43_Summer,91
43_Fall,90
44_Winter,81
44_Spring,91
44_Summer,91
44_Fall,90
45_Winter,103
45_Spring,18
45_Summer,91
45_Fall,90
48_Winter,103
48_Spring,91
48_Summer,89
48_Fall,29
50_Winter,38
50_Spring,81
50_Summer,33
50_Fall,71
51_Winter,103
51_Spring,91
51_Summer,91
51_Fall,90
53_Spring,9
53_Summer,91
53_Fall,55
55_Winter,98
55_Spring,91
55_Summer,26
55_Fall,86
57_Winter,48
57_Summer,65
57_Fall,90
60_Winter,101
60_Spring,55
60_Summer,43
60_Fall,86
66_Winter,73
66_Spring,91
66_Summer,91
66_Fall,90
68_Winter,47
68_Spring,80
68_Summer,91
68_Fall,90
70_Winter,96
70_Spring,91
70_Summer,91
70_Fall,90
71_Winter,55
71_Spring,26
71_Summer,18
71_Fall,90
72_Winter,103
72_Spring,66
72_Summer,91
72_Fall,90
75_Winter,89
75_Spring,39
75_Summer,91
75_Fall,90
78_Winter,86
78_Spring,91
78_Summer,91
78_Fall,90
