,SeasonCode
3.1,1
3.2,2
3.3,3
3.4,4
5.1,1
5.2,2
5.3,3
5.4,4
6.1,1
6.2,2
6.3,3
6.4,4
7.1,1
7.2,2
7.3,3
7.4,4
14.1,1
14.2,2
14.3,3
14.4,4
19.1,1
19.2,2
19.3,3
19.4,4
20.1,1
20.2,2
20.3,3
20.4,4
22.1,1
22.2,2
22.3,3
22.4,4
26.1,1
26.2,2
26.3,3
26.4,4
27.1,1
27.2,2
27.3,3
27.4,4
33.1,1
33.2,2
33.3,3
33.4,4
34.1,1
34.2,2
34.4,4
39.1,1
39.2,2
39.3,3
39.4,4
43.1,1
43.2,2
43.3,3
43.4,4
44.1,1
44.2,2
44.3,3
44.4,4
45.1,1
45.2,2
45.3,3
45.4,4
48.1,1
48.2,2
48.3,3
48.4,4
50.1,1
50.2,2
50.3,3
50.4,4
51.1,1
51.2,2
51.3,3
51.4,4
53.2,2
53.3,3
53.4,4
55.1,1
55.2,2
55.3,3
55.4,4
57.1,1
57.3,3
57.4,4
60.1,1
60.2,2
60.3,3
60.4,4
66.1,1
66.2,2
66.3,3
66.4,4
68.1,1
68.2,2
68.3,3
68.4,4
70.1,1
70.2,2
70.3,3
70.4,4
71.1,1
71.2,2
71.3,3
71.4,4
72.1,1
72.2,2
72.3,3
72.4,4
75.1,1
75.2,2
75.3,3
75.4,4
78.1,1
78.2,2
78.3,3
78.4,4
