,Coyote,Armadillo,Opossum,Bobcat,Stp Skunk,WT Deer,Raccoon,Feral Hog,CT Rabbit,Gray Fox
3.1,7,3,1,0,1,38,5,3,7,0
3.2,21,2,1,1,1,20,2,0,4,0
3.3,1,0,1,0,0,42,3,38,0,0
3.4,1,0,0,0,0,45,1,31,0,2
5.1,14,4,13,1,16,44,68,30,13,0
5.2,15,12,5,1,4,28,37,40,4,0
5.3,16,15,4,3,0,38,6,27,1,0
5.4,17,6,7,3,3,55,26,24,15,0
6.1,42,16,5,4,10,25,4,2,31,0
6.2,15,37,18,14,3,28,10,0,21,0
6.3,4,10,31,3,0,27,1,102,34,0
6.4,4,5,11,0,4,28,8,27,34,0
7.1,8,1,6,1,3,48,25,0,1,0
7.2,1,1,0,0,0,37,2,0,0,0
7.3,3,3,1,0,0,63,15,0,3,0
7.4,0,8,5,1,5,46,18,0,2,0
14.1,5,1,0,4,8,93,16,1,5,0
14.2,1,3,4,0,0,10,9,1,1,0
14.3,3,2,4,2,0,30,6,4,27,0
14.4,7,16,13,1,4,50,10,1,23,0
19.1,2,2,1,0,0,58,10,0,1,0
19.2,0,1,0,0,0,4,1,0,0,0
19.3,1,8,1,0,0,38,5,0,2,0
19.4,0,4,2,0,1,46,0,1,3,0
20.1,14,1,0,4,0,106,18,6,2,0
20.2,10,7,0,3,0,77,14,7,5,0
20.3,3,1,0,0,0,42,2,1,0,0
20.4,4,1,0,0,0,70,2,0,0,0
22.1,1,4,2,0,0,43,5,1,2,0
22.2,0,10,4,0,0,53,6,0,4,0
22.3,0,4,1,0,0,45,4,0,1,0
22.4,2,7,2,0,0,44,5,0,0,0
26.1,9,2,0,2,1,83,21,1,16,0
26.2,3,14,1,6,4,70,26,0,23,0
26.3,7,5,0,0,1,75,1,0,15,0
26.4,11,3,1,1,0,150,11,0,10,0
27.1,5,4,1,0,2,67,21,1,9,0
27.2,6,12,10,2,2,69,35,0,2,0
27.3,4,2,4,0,0,52,6,2,0,0
27.4,1,2,1,1,0,49,9,0,0,0
33.1,3,0,0,0,0,10,1,0,0,0
33.2,0,0,0,0,0,15,0,0,0,0
33.3,2,4,0,0,0,47,0,1,0,0
33.4,3,3,1,1,0,96,5,0,1,0
34.1,11,3,3,1,0,29,21,3,4,0
34.2,7,4,1,1,0,15,36,2,7,0
34.4,1,1,1,0,0,39,1,3,0,0
39.1,3,2,0,1,0,19,14,3,0,2
39.2,4,1,1,0,0,39,11,33,0,0
39.3,2,0,0,1,0,68,1,48,0,0
39.4,0,0,0,1,1,54,1,11,1,0
43.1,2,12,8,0,5,53,9,0,8,0
43.2,1,6,6,3,1,50,29,0,3,0
43.3,8,0,2,1,0,52,3,0,0,0
43.4,4,4,2,3,0,89,5,0,1,0
44.1,5,0,6,5,2,37,3,3,18,0
44.2,7,1,1,1,0,39,11,8,5,0
44.3,4,1,3,1,0,50,6,3,3,0
44.4,6,6,2,1,0,62,10,3,12,0
45.1,6,9,5,2,0,5,24,2,0,0
45.2,0,2,0,0,1,3,3,2,0,0
45.3,2,6,1,0,0,32,7,3,0,0
45.4,5,6,4,1,0,30,7,4,0,0
48.1,3,9,8,1,4,10,98,7,1,0
48.2,2,28,18,1,3,55,13,8,2,0
48.3,0,43,9,1,7,77,21,3,0,0
48.4,0,18,3,0,7,11,105,5,0,0
50.3,1,1,1,1,0,17,0,0,11,0
51.1,2,15,3,0,0,31,30,1,11,4
51.2,1,35,5,2,2,33,75,0,9,14
51.3,4,16,12,0,0,39,14,0,10,0
51.4,0,15,6,0,1,45,13,3,7,0
53.3,0,10,28,2,0,74,3,2,10,0
55.1,9,4,0,1,0,68,1,1,0,0
55.2,3,4,0,1,0,74,7,2,0,0
55.3,0,1,0,0,0,52,0,0,0,0
55.4,8,0,4,1,0,74,3,0,0,0
57.1,1,3,3,1,1,25,2,1,0,0
57.3,1,15,0,0,0,27,2,4,0,0
57.4,0,42,2,1,0,138,8,7,0,0
60.1,2,1,1,0,0,44,6,12,3,2
60.2,1,0,1,0,0,26,2,20,1,0
60.3,0,1,1,1,0,39,1,8,1,0
60.4,0,2,2,0,0,54,12,2,1,0
66.1,2,1,11,0,2,36,13,2,2,0
66.2,0,4,1,1,0,25,4,13,0,0
66.3,0,12,0,0,0,34,2,13,1,0
66.4,0,10,4,0,0,47,14,10,6,0
68.1,4,1,7,0,0,5,7,0,21,0
68.2,2,1,3,0,0,24,17,4,17,0
68.3,1,6,6,0,0,20,20,0,4,0
68.4,5,10,5,1,0,7,51,2,25,0
70.1,6,0,7,0,0,57,9,35,2,0
70.2,5,4,1,0,0,53,6,19,1,0
70.3,6,4,2,1,0,46,4,19,1,0
70.4,9,7,4,0,1,41,9,0,4,0
71.1,2,1,0,0,0,36,8,3,0,0
71.2,0,0,0,1,0,22,2,2,0,0
71.3,1,0,0,0,0,51,1,2,0,0
71.4,1,6,1,0,0,57,26,4,0,0
72.1,6,1,11,1,7,15,13,0,21,4
72.2,2,5,8,0,1,16,12,0,15,0
72.3,1,18,10,0,2,29,3,0,1,0
72.4,3,9,7,0,2,18,5,1,0,0
75.1,1,6,15,1,1,57,18,2,1,0
75.2,0,0,3,2,0,28,14,3,0,0
75.3,1,1,0,2,0,86,3,12,5,0
75.4,0,0,1,0,0,78,4,1,0,0
78.1,2,11,0,1,0,57,0,2,3,0
78.2,0,1,0,0,0,81,0,14,0,0
78.3,0,0,0,0,0,51,1,3,0,0
78.4,0,8,0,0,0,85,3,0,1,0
