Camera Station,Coyote,Armadillo,Opossum,Bobcat,Stp Skunk,WT Deer,Raccoon,Feral Hog,CT Rabbit,Gray Fox
3,21,2,1,1,1,20,2,0,4,0
5,15,12,5,1,4,28,37,40,4,0
6,15,37,18,14,3,28,10,0,21,0
7,1,1,0,0,0,37,2,0,0,0
14,1,3,4,0,0,10,9,1,1,0
19,0,1,0,0,0,4,1,0,0,0
20,10,7,0,3,0,77,14,7,5,0
22,0,10,4,0,0,53,6,0,4,0
26,3,14,1,6,4,70,26,0,23,0
27,6,12,10,2,2,69,35,0,2,0
33,0,0,0,0,0,15,0,0,0,0
34,7,4,1,1,0,15,36,2,7,0
39,4,1,1,0,0,39,11,33,0,0
43,1,6,6,3,1,50,29,0,3,0
44,7,1,1,1,0,39,11,8,5,0
45,0,2,0,0,1,3,3,2,0,0
48,2,28,18,1,3,55,13,8,2,0
50,9,6,7,1,0,66,7,0,6,0
51,1,35,5,2,2,33,75,0,9,14
53,0,0,0,1,0,2,0,1,2,0
55,3,4,0,1,0,74,7,2,0,0
60,1,0,1,0,0,26,2,20,1,0
66,0,4,1,1,0,25,4,13,0,0
68,2,1,3,0,0,24,17,4,17,0
70,5,4,1,0,0,53,6,19,1,0
71,0,0,0,1,0,22,2,2,0,0
72,2,5,8,0,1,16,12,0,15,0
75,0,0,3,2,0,28,14,3,0,0
78,0,1,0,0,0,81,0,14,0,0
