Sampling.Unit.Name,Canis latrans,Dasypus novemcinctus,Didelphis virginiana,Lynx rufus,Mephitis mephitis,Odocoileus virginianus,Procyon lotor,Sus scrofa,Sylvilagus floridanus,Urocyon cinereoargenteus
3,30,5,3,1,2,145,11,72,11,2
5,62,37,29,8,23,165,137,121,33,0
6,65,68,65,21,17,108,23,131,120,0
7,12,13,12,2,8,194,60,0,6,0
14,16,22,21,7,12,183,41,7,56,0
19,3,15,4,0,1,146,16,1,6,0
20,31,10,0,7,0,295,36,14,7,0
22,3,25,9,0,0,185,20,1,7,0
26,30,24,2,9,6,378,59,1,64,0
27,16,20,16,3,4,237,71,3,11,0
33,8,7,1,1,0,168,6,1,1,0
34,19,8,5,2,0,83,58,8,11,0
39,9,5,2,3,1,190,29,96,1,2
43,15,22,18,7,6,244,46,0,12,0
44,22,8,12,8,2,188,30,17,38,0
45,13,23,10,3,1,70,41,11,0,0
48,5,98,38,3,21,153,237,23,3,0
50,11,14,16,2,0,185,24,1,17,0
51,7,81,26,2,3,148,132,4,37,18
53,4,13,37,3,0,86,4,3,32,0
55,20,9,4,3,0,268,11,3,0,0
57,2,60,5,2,1,190,12,12,0,0
60,3,4,5,1,0,163,21,42,6,2
66,2,27,16,1,2,142,33,38,9,0
68,12,18,21,1,0,56,95,6,67,0
70,26,15,14,1,1,197,28,73,8,0
71,4,7,1,1,0,166,37,11,0,0
72,12,33,36,1,12,78,33,1,37,4
75,2,7,19,5,1,249,39,18,6,0
78,2,20,0,1,0,274,4,19,4,0
