"","Canis.latrans","Dasypus.novemcinctus","Odocoileus.virginianus","Procyon.lotor","Sus.scrofa","Lynx.rufus","Didelphis.virginiana","Sylvilagus.floridanus","Mephitis.mephitis","Urocyon.cinereoargenteus"
"60",1,1,1,1,1,1,1,1,0,1
"72",1,1,1,1,1,1,1,1,1,1
"51",1,1,1,1,1,1,1,1,1,1
"39",1,1,1,1,1,1,1,1,1,1
"3",1,1,1,1,1,1,1,1,1,1
"43",1,1,1,1,0,1,1,1,1,0
"7",1,1,1,1,0,1,1,1,1,0
"19",1,1,1,1,1,0,1,1,1,0
"75",1,1,1,1,1,1,1,1,1,0
"70",1,1,1,1,1,1,1,1,1,0
"66",1,1,1,1,1,1,1,1,1,0
"48",1,1,1,1,1,1,1,1,1,0
"44",1,1,1,1,1,1,1,1,1,0
"27",1,1,1,1,1,1,1,1,1,0
"26",1,1,1,1,1,1,1,1,1,0
"14",1,1,1,1,1,1,1,1,1,0
"6",1,1,1,1,1,1,1,1,1,0
"5",1,1,1,1,1,1,1,1,1,0
"57",1,1,1,1,1,1,1,0,1,0
"45",1,1,1,1,1,1,1,0,1,0
"68",1,1,1,1,1,1,1,1,0,0
"53",1,1,1,1,1,1,1,1,0,0
"50",1,1,1,1,1,1,1,1,0,0
"34",1,1,1,1,1,1,1,1,0,0
"33",1,1,1,1,1,1,1,1,0,0
"22",1,1,1,1,1,0,1,1,0,0
"78",1,1,1,1,1,1,0,1,0,0
"20",1,1,1,1,1,1,0,1,0,0
"71",1,1,1,1,1,1,1,0,0,0
"55",1,1,1,1,1,1,1,0,0,0
